id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal;engajamento
3939;37;Anual;25;5;109.46;Alto
2484;41;Mensal;18;5;141.03;Médio
4762;59;Trimestral;17;5;90.57;Médio
4646;40;Trimestral;12;1;129.47;Médio
1863;32;Trimestral;6;1;123.37;Baixo
3790;28;Mensal;26;5;26.0;Alto
4312;35;Trimestral;27;1;72.87;Alto
1563;40;Anual;8;4;17.54;Baixo
2020;19;Mensal;19;5;102.32;Médio
1095;25;Mensal;10;1;142.48;Médio
2923;18;Anual;1;2;20.56;Baixo
2757;56;Mensal;25;5;110.08;Alto
3532;60;Anual;13;5;94.84;Médio
4478;33;Mensal;17;4;87.54;Médio
3278;62;Mensal;3;3;58.52;Baixo
3796;51;Anual;8;3;53.27;Baixo
2678;62;Mensal;14;4;6.79;Médio
4242;37;Trimestral;3;4;32.69;Baixo
1540;49;Mensal;16;4;2.28;Médio
2059;62;Trimestral;13;3;87.21;Médio
3572;23;Mensal;20;4;15.88;Alto
2183;55;Mensal;24;1;130.95;Alto
4910;64;Anual;17;5;78.47;Médio
2722;59;Mensal;13;5;104.95;Médio
4314;34;Trimestral;6;2;61.63;Baixo
4157;57;Mensal;17;2;84.09;Médio
2819;56;Trimestral;14;5;141.4;Médio
3625;52;Mensal;17;1;12.41;Médio
3729;21;Anual;8;3;38.09;Baixo
3604;41;Mensal;11;3;117.0;Médio
2597;49;Mensal;20;1;14.81;Alto
4060;60;Mensal;1;3;11.35;Baixo
3693;21;Mensal;26;4;54.23;Alto
1795;52;Trimestral;7;5;13.83;Baixo
2051;48;Mensal;21;5;87.76;Alto
2643;37;Anual;21;1;33.94;Alto
4627;36;Mensal;17;3;134.35;Médio
2363;21;Mensal;10;2;117.53;Médio
4869;21;Trimestral;11;2;104.96;Médio
2981;63;Trimestral;22;3;92.54;Alto
2354;19;Mensal;9;2;129.52;Baixo
2663;45;Mensal;9;1;33.46;Baixo
2529;26;Mensal;24;1;130.97;Alto
3038;45;Trimestral;5;3;118.42;Baixo
4419;46;Trimestral;17;2;112.22;Médio
2496;39;Mensal;9;1;84.19;Baixo
4302;24;Anual;17;1;36.94;Médio
3237;18;Anual;24;4;63.53;Alto
4296;46;Trimestral;21;4;119.04;Alto
2408;55;Anual;19;1;4.77;Médio
2400;52;Mensal;27;3;117.31;Alto
2306;51;Mensal;7;5;36.01;Baixo
3680;39;Mensal;23;5;21.65;Alto
3675;46;Mensal;9;1;17.36;Baixo
1972;21;Trimestral;7;1;4.09;Baixo
2768;17;Anual;13;1;78.54;Médio
2282;35;Mensal;11;3;32.74;Médio
4430;43;Mensal;14;4;148.41;Médio
1709;26;Mensal;19;1;86.17;Médio
2479;19;Anual;11;1;20.68;Médio
2434;30;Mensal;13;2;103.31;Médio
1648;21;Trimestral;14;3;134.66;Médio
1317;64;Mensal;13;1;111.78;Médio
4748;45;Mensal;1;2;11.47;Baixo
4296;53;Anual;8;5;134.38;Baixo
4890;17;Anual;12;1;119.09;Médio
2257;30;Mensal;19;1;23.75;Médio
1683;26;Anual;12;2;7.77;Médio
1663;23;Trimestral;8;3;83.6;Baixo
2998;41;Anual;8;1;23.41;Baixo
4898;60;Mensal;21;5;125.19;Alto
4445;59;Trimestral;13;1;53.75;Médio
4743;20;Mensal;12;5;136.93;Médio
2631;21;Trimestral;16;4;84.85;Médio
2495;41;Mensal;1;4;27.4;Baixo
4304;19;Mensal;13;5;20.94;Médio
4763;34;Mensal;26;3;86.47;Alto
2136;35;Trimestral;7;1;114.28;Baixo
2853;48;Mensal;26;1;117.23;Alto
2520;35;Trimestral;5;4;41.36;Baixo
3489;64;Anual;8;5;30.64;Baixo
1563;27;Mensal;25;1;2.51;Alto
2291;62;Trimestral;27;1;101.88;Alto
4581;16;Mensal;14;3;11.49;Médio
4878;41;Anual;23;2;63.11;Alto
4457;29;Mensal;13;4;90.25;Médio
4458;53;Trimestral;15;4;140.57;Médio
4184;52;Anual;23;2;46.77;Alto
2636;26;Anual;17;1;37.47;Médio
4696;51;Trimestral;15;3;98.12;Médio
3999;28;Mensal;20;3;92.89;Alto
4152;58;Trimestral;18;4;49.82;Médio
1698;18;Anual;18;3;139.22;Médio
3160;48;Trimestral;2;2;126.73;Baixo
1001;21;Mensal;4;1;33.6;Baixo
1641;25;Anual;1;2;35.87;Baixo
3267;20;Trimestral;4;5;76.85;Baixo
2589;38;Trimestral;18;4;116.04;Médio
1854;25;Mensal;5;3;6.61;Baixo
2759;59;Trimestral;19;5;104.0;Médio
4296;17;Mensal;15;3;97.24;Médio
3432;28;Trimestral;8;1;34.72;Baixo
4474;55;Mensal;20;1;102.2;Alto
2661;17;Trimestral;17;1;141.03;Médio
2153;35;Anual;1;3;7.02;Baixo
2076;16;Mensal;12;5;47.95;Médio
2707;52;Anual;26;1;65.73;Alto
3777;24;Mensal;19;5;134.89;Médio
2695;32;Anual;15;3;144.34;Médio
2733;24;Trimestral;9;5;66.62;Baixo
2439;26;Trimestral;7;3;112.5;Baixo
3294;30;Trimestral;2;3;79.75;Baixo
1835;39;Anual;9;4;80.67;Baixo
4510;53;Mensal;10;3;41.71;Médio
1202;50;Mensal;2;3;32.54;Baixo
4255;45;Trimestral;19;2;43.2;Médio
1122;46;Anual;11;1;83.45;Médio
1400;64;Trimestral;13;4;4.37;Médio
1766;20;Trimestral;10;4;136.09;Médio
1293;59;Mensal;14;4;23.44;Médio
3327;29;Anual;18;2;33.01;Médio
4908;26;Mensal;19;3;77.74;Médio
3931;24;Trimestral;22;1;106.52;Alto
4681;49;Mensal;9;5;14.36;Baixo
1197;27;Mensal;25;3;47.65;Alto
4029;50;Mensal;7;2;145.3;Baixo
2930;50;Mensal;3;3;39.35;Baixo
4582;16;Trimestral;20;3;46.96;Alto
3799;55;Mensal;6;2;125.47;Baixo
3191;37;Mensal;27;4;7.53;Alto
1608;44;Mensal;21;4;69.69;Alto
4272;23;Mensal;2;1;56.94;Baixo
2147;26;Mensal;6;1;47.49;Baixo
1186;56;Mensal;3;4;42.85;Baixo
4397;52;Trimestral;16;5;13.71;Médio
3511;29;Trimestral;8;3;47.22;Baixo
4420;45;Trimestral;2;5;6.46;Baixo
2794;50;Mensal;17;3;117.14;Médio
1659;36;Mensal;9;4;59.73;Baixo
3811;52;Anual;12;1;66.59;Médio
4002;20;Trimestral;3;1;134.04;Baixo
2955;34;Mensal;11;5;98.71;Médio
3450;29;Mensal;1;1;1.21;Baixo
2369;41;Mensal;23;4;141.48;Alto
2986;19;Mensal;13;5;35.57;Médio
2534;40;Mensal;15;3;16.14;Médio
1146;60;Trimestral;26;1;115.22;Alto
4219;57;Trimestral;5;2;75.07;Baixo
3911;40;Trimestral;21;1;65.07;Alto
2734;33;Trimestral;17;3;37.43;Médio
2843;55;Anual;25;5;82.12;Alto
1488;23;Trimestral;23;3;41.16;Alto
3976;54;Anual;24;2;135.24;Alto
2959;55;Mensal;25;4;32.28;Alto
2663;29;Mensal;6;1;132.65;Baixo
3598;47;Mensal;21;5;83.91;Alto
3385;53;Trimestral;22;4;124.27;Alto
3919;48;Anual;11;3;106.93;Médio
1640;38;Mensal;18;5;104.5;Médio
2802;30;Anual;4;4;48.65;Baixo
3520;48;Mensal;3;5;35.08;Baixo
2969;40;Anual;13;2;31.63;Médio
3198;32;Mensal;23;2;128.58;Alto
2438;48;Mensal;9;1;123.06;Baixo
4369;62;Mensal;21;1;66.09;Alto
2634;17;Mensal;6;2;19.86;Baixo
1262;29;Mensal;26;5;57.34;Alto
2787;55;Mensal;12;2;92.9;Médio
3191;55;Anual;2;1;68.16;Baixo
3393;54;Trimestral;3;2;117.03;Baixo
1623;21;Mensal;3;2;149.64;Baixo
2016;21;Trimestral;12;5;28.67;Médio
4643;18;Trimestral;15;4;68.95;Médio
1880;22;Mensal;9;1;64.65;Baixo
3049;23;Mensal;23;5;45.67;Alto
3944;57;Mensal;8;2;29.71;Baixo
2327;30;Mensal;11;2;9.85;Médio
3301;62;Trimestral;16;4;133.07;Médio
4723;44;Mensal;26;1;62.98;Alto
1452;48;Trimestral;27;1;74.53;Alto
4108;45;Trimestral;25;3;137.54;Alto
2183;54;Mensal;22;1;116.44;Alto
4062;42;Trimestral;4;4;19.58;Baixo
3056;51;Mensal;1;3;84.81;Baixo
4304;44;Anual;24;3;66.34;Alto
4170;53;Mensal;7;2;119.58;Baixo
2682;48;Anual;2;2;108.63;Baixo
3863;52;Trimestral;24;1;103.56;Alto
3255;42;Mensal;5;3;51.08;Baixo
2154;48;Trimestral;7;2;120.74;Baixo
1403;19;Anual;4;4;7.86;Baixo
3199;37;Trimestral;5;2;23.94;Baixo
3101;17;Anual;24;2;50.34;Alto
4191;25;Anual;1;3;11.52;Baixo
2696;20;Mensal;1;3;35.25;Baixo
4991;25;Mensal;15;5;124.52;Médio
1627;48;Trimestral;20;4;142.24;Alto
1586;53;Mensal;19;3;45.69;Médio
2648;28;Anual;10;1;39.68;Médio
2443;46;Anual;18;4;41.98;Médio
2445;62;Mensal;3;4;41.66;Baixo
1103;51;Mensal;11;3;5.39;Médio
4923;60;Trimestral;15;4;139.04;Médio
1253;39;Mensal;27;3;32.05;Alto
4298;30;Anual;11;2;63.0;Médio
4183;44;Mensal;17;5;1.45;Médio
3557;23;Trimestral;17;2;128.69;Médio
2496;20;Mensal;6;3;109.67;Baixo
1098;44;Trimestral;5;3;142.01;Baixo
3200;62;Mensal;8;2;117.24;Baixo
2884;19;Trimestral;2;1;47.06;Baixo
3961;27;Mensal;16;1;37.18;Médio
2919;60;Trimestral;20;1;104.66;Alto
1877;17;Anual;24;3;54.62;Alto
1337;42;Mensal;12;4;84.93;Médio
4777;46;Mensal;6;3;0.94;Baixo
3869;51;Mensal;1;4;9.28;Baixo
4234;51;Trimestral;4;2;80.31;Baixo
4791;41;Trimestral;17;5;84.91;Médio
1956;58;Trimestral;13;4;112.72;Médio
2704;42;Mensal;18;1;19.79;Médio
1160;20;Mensal;5;3;76.98;Baixo
2603;35;Trimestral;24;2;29.17;Alto
3848;26;Mensal;24;1;13.98;Alto
1397;25;Anual;27;2;61.57;Alto
2300;55;Mensal;3;5;24.5;Baixo
1815;53;Trimestral;11;3;33.27;Médio
4987;21;Mensal;13;3;47.63;Médio
2527;23;Mensal;4;5;38.91;Baixo
2919;38;Trimestral;26;3;13.14;Alto
2415;62;Trimestral;27;4;13.49;Alto
2158;41;Anual;14;2;28.99;Médio
2218;61;Mensal;22;1;7.58;Alto
1400;58;Mensal;11;5;93.97;Médio
1639;27;Trimestral;27;4;43.1;Alto
4104;41;Trimestral;10;1;41.96;Médio
3735;28;Mensal;19;1;49.8;Médio
1459;55;Mensal;18;5;99.42;Médio
1954;33;Mensal;6;4;130.6;Baixo
4954;40;Anual;27;1;113.86;Alto
1469;48;Mensal;15;1;109.13;Médio
4446;62;Mensal;21;4;72.66;Alto
2045;55;Mensal;10;3;104.07;Médio
3797;58;Mensal;5;1;82.91;Baixo
2693;27;Mensal;26;2;32.44;Alto
3085;59;Trimestral;5;4;31.29;Baixo
3277;51;Mensal;10;1;44.46;Médio
4436;63;Anual;5;5;136.62;Baixo
1562;19;Mensal;3;2;82.11;Baixo
3485;20;Trimestral;23;1;110.09;Alto
2799;52;Anual;6;2;51.98;Baixo
4354;23;Trimestral;4;2;61.16;Baixo
3074;57;Trimestral;18;3;18.83;Médio
1225;64;Mensal;9;2;25.69;Baixo
4348;43;Mensal;17;3;124.1;Médio
1797;46;Trimestral;13;4;87.73;Médio
4680;24;Anual;27;3;50.63;Alto
3331;44;Trimestral;15;5;120.43;Médio
3926;29;Trimestral;20;1;36.98;Alto
1959;55;Trimestral;17;4;146.4;Médio
2504;56;Mensal;13;4;51.72;Médio
1452;37;Mensal;16;5;50.6;Médio
4067;26;Trimestral;22;3;46.79;Alto
4900;38;Anual;4;1;18.32;Baixo
1815;16;Mensal;5;3;16.67;Baixo
1658;61;Trimestral;5;2;97.22;Baixo
4587;52;Mensal;9;3;131.27;Baixo
1546;36;Trimestral;17;4;118.58;Médio
2215;41;Mensal;13;1;21.17;Médio
4120;61;Mensal;2;3;81.84;Baixo
4583;51;Trimestral;13;1;15.84;Médio
1016;38;Mensal;22;1;6.79;Alto
4243;16;Trimestral;21;2;98.46;Alto
2243;55;Trimestral;27;2;80.27;Alto
3205;30;Anual;23;4;12.3;Alto
3524;36;Mensal;19;5;5.24;Médio
2069;62;Mensal;3;1;148.46;Baixo
4444;24;Mensal;10;5;4.5;Médio
3565;24;Anual;2;4;66.68;Baixo
3146;25;Anual;13;1;75.69;Médio
4963;41;Trimestral;19;1;17.59;Médio
2768;56;Anual;26;5;25.36;Alto
2060;50;Trimestral;17;3;52.77;Médio
3327;40;Trimestral;21;2;114.25;Alto
4420;41;Mensal;14;3;76.06;Médio
3544;26;Trimestral;12;5;95.69;Médio
1301;53;Mensal;21;2;147.78;Alto
1180;17;Anual;12;3;115.2;Médio
1606;22;Trimestral;11;2;65.15;Médio
4170;33;Trimestral;7;1;66.97;Baixo
1699;42;Mensal;4;3;92.82;Baixo
1992;49;Mensal;19;2;99.8;Médio
2139;42;Mensal;1;2;75.11;Baixo
1190;32;Mensal;24;2;96.73;Alto
3300;58;Mensal;3;3;3.53;Baixo
1980;59;Anual;13;4;64.44;Médio
3975;39;Trimestral;15;3;41.84;Médio
3006;40;Mensal;2;5;19.38;Baixo
2184;22;Mensal;11;3;14.93;Médio
4327;21;Mensal;4;2;90.48;Baixo
4394;39;Trimestral;19;1;78.54;Médio
1127;48;Trimestral;17;3;38.04;Médio
3065;64;Anual;3;3;70.64;Baixo
2816;44;Mensal;18;2;73.83;Médio
2758;58;Anual;8;1;29.25;Baixo
3613;37;Anual;22;1;97.81;Alto
1569;41;Mensal;25;5;117.14;Alto
2346;43;Anual;24;3;118.72;Alto
2895;36;Mensal;26;1;90.37;Alto
3733;64;Anual;19;1;76.75;Médio
4863;22;Mensal;5;4;9.15;Baixo
1625;32;Anual;7;4;43.17;Baixo
4359;35;Anual;21;1;13.99;Alto
3901;56;Anual;8;5;144.57;Baixo
2686;64;Trimestral;5;1;20.26;Baixo
4009;35;Mensal;17;2;22.77;Médio
4710;37;Mensal;5;3;133.44;Baixo
1154;43;Mensal;4;5;141.59;Baixo
3537;55;Mensal;22;2;114.87;Alto
2409;64;Trimestral;19;5;0.81;Médio
1784;22;Mensal;27;2;0.2;Alto
4175;16;Anual;21;3;56.72;Alto
4464;47;Trimestral;2;3;21.51;Baixo
4882;28;Anual;11;4;2.76;Médio
1245;45;Mensal;22;2;69.61;Alto
4247;38;Anual;13;4;141.46;Médio
4110;34;Anual;15;2;48.57;Médio
2500;47;Mensal;12;4;99.17;Médio
2705;45;Trimestral;22;3;97.84;Alto
3806;44;Trimestral;21;5;37.66;Alto
1537;64;Mensal;22;4;97.56;Alto
2890;60;Trimestral;11;2;31.85;Médio
2841;44;Mensal;7;2;18.3;Baixo
1920;45;Mensal;5;3;105.21;Baixo
3455;31;Mensal;17;2;17.02;Médio
1524;55;Mensal;24;1;149.54;Alto
3875;34;Mensal;20;5;27.52;Alto
2529;33;Mensal;9;4;89.12;Baixo
3950;16;Anual;14;5;61.71;Médio
4896;29;Trimestral;26;3;18.96;Alto
1035;62;Anual;12;4;4.18;Médio
1684;17;Mensal;6;4;93.41;Baixo
1019;43;Mensal;17;1;121.01;Médio
3368;64;Trimestral;19;3;126.3;Médio
4847;45;Mensal;19;2;72.41;Médio
3559;53;Mensal;26;1;116.62;Alto
1399;19;Trimestral;16;1;100.93;Médio
3701;16;Mensal;12;5;108.64;Médio
1971;23;Trimestral;12;5;73.89;Médio
2906;44;Trimestral;20;5;95.01;Alto
3518;54;Mensal;6;1;120.83;Baixo
2166;18;Mensal;23;2;59.68;Alto
2115;47;Trimestral;26;4;120.9;Alto
4425;25;Mensal;4;5;88.8;Baixo
1833;25;Mensal;6;2;24.89;Baixo
2823;34;Anual;11;3;3.7;Médio
3774;61;Mensal;1;5;54.41;Baixo
2982;49;Trimestral;24;4;82.0;Alto
1853;48;Anual;23;3;125.97;Alto
1050;38;Mensal;15;3;19.12;Médio
4736;43;Mensal;27;4;120.03;Alto
4769;47;Mensal;11;5;129.45;Médio
1574;22;Mensal;25;1;22.6;Alto
4261;44;Mensal;19;4;127.74;Médio
2148;23;Trimestral;18;4;148.72;Médio
3197;16;Mensal;17;4;109.03;Médio
3361;18;Trimestral;19;3;117.72;Médio
3617;39;Anual;21;2;149.16;Alto
4413;38;Anual;14;1;90.82;Médio
3352;23;Trimestral;27;5;46.18;Alto
2715;62;Mensal;18;5;125.63;Médio
1681;52;Trimestral;19;2;92.17;Médio
1837;18;Trimestral;15;4;87.18;Médio
4854;48;Mensal;15;1;38.05;Médio
2077;43;Mensal;4;5;113.45;Baixo
4050;62;Anual;7;5;12.25;Baixo
3491;23;Mensal;13;4;138.64;Médio
3660;49;Mensal;3;2;48.87;Baixo
4040;50;Mensal;16;1;19.17;Médio
3311;47;Mensal;9;2;66.35;Baixo
4124;39;Anual;8;2;6.37;Baixo
2595;29;Trimestral;20;1;102.69;Alto
4051;47;Trimestral;13;1;135.41;Médio
4691;61;Mensal;17;5;125.59;Médio
1004;58;Mensal;17;5;19.11;Médio
2126;31;Mensal;17;1;18.94;Médio
2219;19;Mensal;1;3;122.02;Baixo
1773;52;Mensal;8;5;138.64;Baixo
1876;36;Trimestral;19;3;69.1;Médio
1991;29;Mensal;6;1;74.85;Baixo
3931;46;Trimestral;3;5;47.74;Baixo
4421;63;Mensal;27;2;134.14;Alto
1046;33;Mensal;5;1;96.74;Baixo
3914;22;Mensal;13;4;43.24;Médio
3870;25;Anual;15;3;44.82;Médio
3983;22;Anual;14;1;133.68;Médio
4891;48;Anual;23;1;2.05;Alto
3703;38;Mensal;16;5;48.41;Médio
1268;36;Mensal;18;5;83.15;Médio
1369;34;Trimestral;22;5;22.23;Alto
1635;63;Mensal;22;4;13.81;Alto
2129;34;Anual;11;5;122.29;Médio
2693;51;Mensal;3;1;134.16;Baixo
2682;44;Mensal;22;5;123.54;Alto
1656;33;Mensal;10;2;134.82;Médio
1119;17;Mensal;10;5;82.97;Médio
1830;16;Trimestral;21;4;121.84;Alto
2810;62;Mensal;16;2;57.61;Médio
4675;20;Mensal;12;1;99.94;Médio
2081;35;Mensal;2;1;148.33;Baixo
2974;26;Mensal;9;3;33.86;Baixo
2369;57;Trimestral;24;2;58.48;Alto
1740;17;Anual;3;3;72.01;Baixo
4545;18;Anual;24;2;20.7;Alto
1116;38;Trimestral;25;2;12.16;Alto
2853;27;Mensal;15;4;124.46;Médio
3838;35;Trimestral;3;3;146.52;Baixo
2150;20;Mensal;19;4;60.71;Médio
4464;52;Mensal;18;2;13.15;Médio
2931;53;Anual;8;1;9.87;Baixo
2012;45;Mensal;26;2;133.7;Alto
2664;24;Anual;17;4;69.57;Médio
2081;49;Mensal;8;3;48.0;Baixo
1633;59;Trimestral;7;3;71.47;Baixo
1512;50;Trimestral;7;4;47.75;Baixo
4822;37;Anual;3;3;73.36;Baixo
