id_aluno;idade;plano;visitas_mes;satisfacao;gasto_extra_mensal
3214;32;Anual;25;2;112.75
2297;63;Mensal;8;5;93.52
3435;62;Mensal;24;2;90.04
1600;38;Mensal;14;4;8.03
3363;30;Trimestral;26;1;56.48
3061;52;Mensal;6;3;34.81
1241;36;Anual;23;1;39.81
3041;29;Mensal;22;3;83.15
3824;17;Anual;16;4;29.93
4417;26;Mensal;25;2;44.09
3612;54;Anual;19;5;35.56
3945;53;Trimestral;14;4;142.28
2363;49;Trimestral;19;1;141.7
3139;53;Anual;3;5;91.49
2390;49;Trimestral;10;2;138.68
4003;33;Trimestral;19;4;117.87
2478;45;Mensal;9;5;88.49
4499;30;Mensal;20;4;0.97
3556;42;Anual;13;4;115.88
1775;49;Trimestral;7;2;105.37
1034;53;Trimestral;14;3;92.29
3253;48;Mensal;9;5;114.06
4152;39;Mensal;27;2;76.94
2955;30;Mensal;23;4;105.61
2585;45;Trimestral;25;2;140.28
4943;57;Mensal;19;3;56.37
4459;32;Mensal;15;5;106.22
4073;20;Mensal;20;3;71.35
2021;44;Mensal;14;1;101.16
4461;19;Trimestral;24;5;114.43
3613;25;Mensal;6;3;6.82
2129;32;Trimestral;21;4;96.99
4843;25;Mensal;4;5;34.01
4893;32;Mensal;8;5;100.5
2500;35;Mensal;17;2;70.25
1702;39;Mensal;9;4;116.03
3449;20;Mensal;1;1;18.51
3777;49;Mensal;24;3;93.95
2579;21;Trimestral;20;2;41.77
1161;17;Mensal;25;3;127.95
1201;28;Trimestral;14;1;139.26
2981;58;Anual;11;1;149.46
1995;58;Trimestral;21;5;119.4
3317;63;Mensal;3;1;113.06
4934;26;Mensal;9;3;32.33
1815;62;Mensal;27;4;50.4
4342;38;Mensal;14;4;69.85
1455;31;Anual;9;5;116.01
4533;46;Mensal;4;3;137.24
4798;26;Mensal;27;3;28.37
2275;31;Trimestral;4;1;138.36
2016;23;Trimestral;8;3;104.34
4773;19;Trimestral;2;2;91.62
3343;55;Mensal;9;1;29.98
4796;19;Mensal;14;2;8.33
3767;40;Trimestral;22;5;85.27
4820;18;Mensal;9;4;97.73
1337;47;Mensal;24;5;31.62
1878;18;Mensal;23;4;83.47
2076;42;Mensal;16;5;128.47
1791;44;Mensal;17;3;125.26
4993;47;Mensal;16;2;139.1
3264;34;Trimestral;12;4;54.88
1763;36;Trimestral;3;1;47.71
3235;20;Anual;11;2;112.41
1379;33;Mensal;14;1;64.67
1492;43;Mensal;18;2;13.13
4112;57;Mensal;21;2;42.42
2180;37;Trimestral;21;5;62.79
3062;36;Trimestral;5;4;43.88
4884;21;Mensal;16;4;49.83
1064;16;Anual;20;2;44.07
4928;20;Mensal;5;3;6.22
4910;56;Trimestral;3;3;95.56
3568;27;Trimestral;12;1;89.59
2367;41;Anual;1;1;98.01
2152;61;Trimestral;21;5;28.85
3027;49;Anual;9;2;44.35
3695;64;Mensal;9;1;92.94
2495;29;Anual;4;1;89.94
4134;41;Mensal;3;2;75.95
2162;60;Anual;17;5;52.56
2522;42;Trimestral;2;1;136.94
3640;24;Anual;24;5;50.97
1391;41;Mensal;1;4;68.34
2698;62;Trimestral;8;5;101.72
1418;37;Trimestral;13;3;81.45
3336;62;Trimestral;23;3;52.03
1378;45;Mensal;15;5;65.35
2796;58;Mensal;8;3;119.17
4561;63;Mensal;12;4;41.72
3278;32;Mensal;22;2;21.34
4065;41;Anual;12;3;46.97
3088;51;Mensal;14;3;127.43
4099;16;Anual;15;5;13.35
3182;23;Mensal;15;4;148.75
1200;64;Mensal;9;2;81.15
2863;50;Trimestral;19;5;147.73
1779;30;Trimestral;26;5;140.85
3977;62;Mensal;20;4;67.92
4104;37;Trimestral;22;2;29.77
4119;29;Trimestral;8;4;24.73
1502;41;Mensal;21;2;36.0
3454;43;Anual;19;4;106.52
4645;38;Anual;6;5;40.94
2751;29;Trimestral;20;5;51.21
1804;39;Mensal;25;1;67.32
3146;17;Trimestral;19;3;136.98
3731;60;Mensal;4;4;28.41
2895;41;Mensal;23;1;0.75
3773;29;Mensal;7;3;9.01
2570;22;Mensal;4;4;135.71
1960;18;Anual;22;2;97.13
4810;62;Trimestral;12;3;40.96
3660;38;Trimestral;13;5;26.58
2485;61;Mensal;3;1;44.14
3690;58;Mensal;22;3;17.22
4840;62;Mensal;12;3;141.23
2028;60;Anual;2;5;117.63
4289;33;Mensal;24;4;69.36
1502;53;Anual;2;2;129.74
3814;50;Trimestral;27;5;37.42
1397;30;Mensal;23;2;107.57
1870;40;Trimestral;9;4;128.42
3842;52;Mensal;1;3;53.52
1392;43;Anual;8;2;113.62
1206;25;Anual;23;1;44.26
2038;54;Mensal;6;1;44.83
2881;32;Mensal;6;5;16.06
4625;54;Trimestral;22;4;66.01
3939;37;Anual;25;5;109.46
2484;41;Mensal;18;5;141.03
4762;59;Trimestral;17;5;90.57
4646;40;Trimestral;12;1;129.47
1863;32;Trimestral;6;1;123.37
3790;28;Mensal;26;5;26.0
4312;35;Trimestral;27;1;72.87
1563;40;Anual;8;4;17.54
2020;19;Mensal;19;5;102.32
1095;25;Mensal;10;1;142.48
2923;18;Anual;1;2;20.56
2757;56;Mensal;25;5;110.08
3532;60;Anual;13;5;94.84
4478;33;Mensal;17;4;87.54
3278;62;Mensal;3;3;58.52
3796;51;Anual;8;3;53.27
2678;62;Mensal;14;4;6.79
4242;37;Trimestral;3;4;32.69
1540;49;Mensal;16;4;2.28
2059;62;Trimestral;13;3;87.21
3572;23;Mensal;20;4;15.88
2183;55;Mensal;24;1;130.95
4910;64;Anual;17;5;78.47
2722;59;Mensal;13;5;104.95
4314;34;Trimestral;6;2;61.63
4157;57;Mensal;17;2;84.09
2819;56;Trimestral;14;5;141.4
3625;52;Mensal;17;1;12.41
3729;21;Anual;8;3;38.09
3604;41;Mensal;11;3;117.0
2597;49;Mensal;20;1;14.81
4060;60;Mensal;1;3;11.35
3693;21;Mensal;26;4;54.23
1795;52;Trimestral;7;5;13.83
2051;48;Mensal;21;5;87.76
2643;37;Anual;21;1;33.94
4627;36;Mensal;17;3;134.35
2363;21;Mensal;10;2;117.53
4869;21;Trimestral;11;2;104.96
2981;63;Trimestral;22;3;92.54
2354;19;Mensal;9;2;129.52
2663;45;Mensal;9;1;33.46
2529;26;Mensal;24;1;130.97
3038;45;Trimestral;5;3;118.42
4419;46;Trimestral;17;2;112.22
2496;39;Mensal;9;1;84.19
4302;24;Anual;17;1;36.94
3237;18;Anual;24;4;63.53
4296;46;Trimestral;21;4;119.04
2408;55;Anual;19;1;4.77
2400;52;Mensal;27;3;117.31
2306;51;Mensal;7;5;36.01
3680;39;Mensal;23;5;21.65
3675;46;Mensal;9;1;17.36
1972;21;Trimestral;7;1;4.09
2768;17;Anual;13;1;78.54
2282;35;Mensal;11;3;32.74
4430;43;Mensal;14;4;148.41
1709;26;Mensal;19;1;86.17
2479;19;Anual;11;1;20.68
2434;30;Mensal;13;2;103.31
1648;21;Trimestral;14;3;134.66
1317;64;Mensal;13;1;111.78
4748;45;Mensal;1;2;11.47
4296;53;Anual;8;5;134.38
4890;17;Anual;12;1;119.09
2257;30;Mensal;19;1;23.75
1683;26;Anual;12;2;7.77
1663;23;Trimestral;8;3;83.6
2998;41;Anual;8;1;23.41
4898;60;Mensal;21;5;125.19
4445;59;Trimestral;13;1;53.75
4743;20;Mensal;12;5;136.93
2631;21;Trimestral;16;4;84.85
2495;41;Mensal;1;4;27.4
4304;19;Mensal;13;5;20.94
4763;34;Mensal;26;3;86.47
2136;35;Trimestral;7;1;114.28
2853;48;Mensal;26;1;117.23
2520;35;Trimestral;5;4;41.36
3489;64;Anual;8;5;30.64
1563;27;Mensal;25;1;2.51
2291;62;Trimestral;27;1;101.88
4581;16;Mensal;14;3;11.49
4878;41;Anual;23;2;63.11
4457;29;Mensal;13;4;90.25
4458;53;Trimestral;15;4;140.57
4184;52;Anual;23;2;46.77
2636;26;Anual;17;1;37.47
4696;51;Trimestral;15;3;98.12
3999;28;Mensal;20;3;92.89
4152;58;Trimestral;18;4;49.82
1698;18;Anual;18;3;139.22
3160;48;Trimestral;2;2;126.73
1001;21;Mensal;4;1;33.6
1641;25;Anual;1;2;35.87
3267;20;Trimestral;4;5;76.85
2589;38;Trimestral;18;4;116.04
1854;25;Mensal;5;3;6.61
2759;59;Trimestral;19;5;104.0
4296;17;Mensal;15;3;97.24
3432;28;Trimestral;8;1;34.72
4474;55;Mensal;20;1;102.2
2661;17;Trimestral;17;1;141.03
2153;35;Anual;1;3;7.02
2076;16;Mensal;12;5;47.95
2707;52;Anual;26;1;65.73
3777;24;Mensal;19;5;134.89
2695;32;Anual;15;3;144.34
2733;24;Trimestral;9;5;66.62
2439;26;Trimestral;7;3;112.5
3294;30;Trimestral;2;3;79.75
1835;39;Anual;9;4;80.67
4510;53;Mensal;10;3;41.71
1202;50;Mensal;2;3;32.54
4255;45;Trimestral;19;2;43.2
1122;46;Anual;11;1;83.45
1400;64;Trimestral;13;4;4.37
1766;20;Trimestral;10;4;136.09
1293;59;Mensal;14;4;23.44
3327;29;Anual;18;2;33.01
4908;26;Mensal;19;3;77.74
3931;24;Trimestral;22;1;106.52
4681;49;Mensal;9;5;14.36
1197;27;Mensal;25;3;47.65
4029;50;Mensal;7;2;145.3
2930;50;Mensal;3;3;39.35
4582;16;Trimestral;20;3;46.96
3799;55;Mensal;6;2;125.47
3191;37;Mensal;27;4;7.53
1608;44;Mensal;21;4;69.69
4272;23;Mensal;2;1;56.94
2147;26;Mensal;6;1;47.49
1186;56;Mensal;3;4;42.85
4397;52;Trimestral;16;5;13.71
3511;29;Trimestral;8;3;47.22
4420;45;Trimestral;2;5;6.46
2794;50;Mensal;17;3;117.14
1659;36;Mensal;9;4;59.73
3811;52;Anual;12;1;66.59
4002;20;Trimestral;3;1;134.04
2955;34;Mensal;11;5;98.71
3450;29;Mensal;1;1;1.21
2369;41;Mensal;23;4;141.48
2986;19;Mensal;13;5;35.57
2534;40;Mensal;15;3;16.14
1146;60;Trimestral;26;1;115.22
4219;57;Trimestral;5;2;75.07
3911;40;Trimestral;21;1;65.07
2734;33;Trimestral;17;3;37.43
2843;55;Anual;25;5;82.12
1488;23;Trimestral;23;3;41.16
3976;54;Anual;24;2;135.24
2959;55;Mensal;25;4;32.28
2663;29;Mensal;6;1;132.65
3598;47;Mensal;21;5;83.91
3385;53;Trimestral;22;4;124.27
3919;48;Anual;11;3;106.93
1640;38;Mensal;18;5;104.5
2802;30;Anual;4;4;48.65
3520;48;Mensal;3;5;35.08
2969;40;Anual;13;2;31.63
3198;32;Mensal;23;2;128.58
2438;48;Mensal;9;1;123.06
4369;62;Mensal;21;1;66.09
2634;17;Mensal;6;2;19.86
1262;29;Mensal;26;5;57.34
2787;55;Mensal;12;2;92.9
3191;55;Anual;2;1;68.16
3393;54;Trimestral;3;2;117.03
1623;21;Mensal;3;2;149.64
2016;21;Trimestral;12;5;28.67
4643;18;Trimestral;15;4;68.95
1880;22;Mensal;9;1;64.65
3049;23;Mensal;23;5;45.67
3944;57;Mensal;8;2;29.71
2327;30;Mensal;11;2;9.85
3301;62;Trimestral;16;4;133.07
4723;44;Mensal;26;1;62.98
1452;48;Trimestral;27;1;74.53
4108;45;Trimestral;25;3;137.54
2183;54;Mensal;22;1;116.44
4062;42;Trimestral;4;4;19.58
3056;51;Mensal;1;3;84.81
4304;44;Anual;24;3;66.34
4170;53;Mensal;7;2;119.58
2682;48;Anual;2;2;108.63
3863;52;Trimestral;24;1;103.56
3255;42;Mensal;5;3;51.08
2154;48;Trimestral;7;2;120.74
1403;19;Anual;4;4;7.86
3199;37;Trimestral;5;2;23.94
3101;17;Anual;24;2;50.34
4191;25;Anual;1;3;11.52
2696;20;Mensal;1;3;35.25
4991;25;Mensal;15;5;124.52
1627;48;Trimestral;20;4;142.24
1586;53;Mensal;19;3;45.69
2648;28;Anual;10;1;39.68
2443;46;Anual;18;4;41.98
2445;62;Mensal;3;4;41.66
1103;51;Mensal;11;3;5.39
4923;60;Trimestral;15;4;139.04
1253;39;Mensal;27;3;32.05
4298;30;Anual;11;2;63.0
4183;44;Mensal;17;5;1.45
3557;23;Trimestral;17;2;128.69
2496;20;Mensal;6;3;109.67
1098;44;Trimestral;5;3;142.01
3200;62;Mensal;8;2;117.24
2884;19;Trimestral;2;1;47.06
3961;27;Mensal;16;1;37.18
2919;60;Trimestral;20;1;104.66
1877;17;Anual;24;3;54.62
1337;42;Mensal;12;4;84.93
4777;46;Mensal;6;3;0.94
3869;51;Mensal;1;4;9.28
4234;51;Trimestral;4;2;80.31
4791;41;Trimestral;17;5;84.91
1956;58;Trimestral;13;4;112.72
2704;42;Mensal;18;1;19.79
1160;20;Mensal;5;3;76.98
2603;35;Trimestral;24;2;29.17
3848;26;Mensal;24;1;13.98
1397;25;Anual;27;2;61.57
2300;55;Mensal;3;5;24.5
1815;53;Trimestral;11;3;33.27
4987;21;Mensal;13;3;47.63
2527;23;Mensal;4;5;38.91
2919;38;Trimestral;26;3;13.14
2415;62;Trimestral;27;4;13.49
2158;41;Anual;14;2;28.99
2218;61;Mensal;22;1;7.58
1400;58;Mensal;11;5;93.97
1639;27;Trimestral;27;4;43.1
4104;41;Trimestral;10;1;41.96
3735;28;Mensal;19;1;49.8
1459;55;Mensal;18;5;99.42
1954;33;Mensal;6;4;130.6
4954;40;Anual;27;1;113.86
1469;48;Mensal;15;1;109.13
4446;62;Mensal;21;4;72.66
2045;55;Mensal;10;3;104.07
3797;58;Mensal;5;1;82.91
2693;27;Mensal;26;2;32.44
3085;59;Trimestral;5;4;31.29
3277;51;Mensal;10;1;44.46
4436;63;Anual;5;5;136.62
1562;19;Mensal;3;2;82.11
3485;20;Trimestral;23;1;110.09
2799;52;Anual;6;2;51.98
4354;23;Trimestral;4;2;61.16
3074;57;Trimestral;18;3;18.83
1225;64;Mensal;9;2;25.69
4348;43;Mensal;17;3;124.1
1797;46;Trimestral;13;4;87.73
4680;24;Anual;27;3;50.63
3331;44;Trimestral;15;5;120.43
3926;29;Trimestral;20;1;36.98
1959;55;Trimestral;17;4;146.4
2504;56;Mensal;13;4;51.72
1452;37;Mensal;16;5;50.6
4067;26;Trimestral;22;3;46.79
4900;38;Anual;4;1;18.32
1815;16;Mensal;5;3;16.67
1658;61;Trimestral;5;2;97.22
4587;52;Mensal;9;3;131.27
1546;36;Trimestral;17;4;118.58
2215;41;Mensal;13;1;21.17
4120;61;Mensal;2;3;81.84
4583;51;Trimestral;13;1;15.84
1016;38;Mensal;22;1;6.79
4243;16;Trimestral;21;2;98.46
2243;55;Trimestral;27;2;80.27
3205;30;Anual;23;4;12.3
3524;36;Mensal;19;5;5.24
2069;62;Mensal;3;1;148.46
4444;24;Mensal;10;5;4.5
3565;24;Anual;2;4;66.68
3146;25;Anual;13;1;75.69
4963;41;Trimestral;19;1;17.59
2768;56;Anual;26;5;25.36
2060;50;Trimestral;17;3;52.77
3327;40;Trimestral;21;2;114.25
4420;41;Mensal;14;3;76.06
3544;26;Trimestral;12;5;95.69
1301;53;Mensal;21;2;147.78
1180;17;Anual;12;3;115.2
1606;22;Trimestral;11;2;65.15
4170;33;Trimestral;7;1;66.97
1699;42;Mensal;4;3;92.82
1992;49;Mensal;19;2;99.8
2139;42;Mensal;1;2;75.11
1190;32;Mensal;24;2;96.73
3300;58;Mensal;3;3;3.53
1980;59;Anual;13;4;64.44
3975;39;Trimestral;15;3;41.84
3006;40;Mensal;2;5;19.38
2184;22;Mensal;11;3;14.93
4327;21;Mensal;4;2;90.48
4394;39;Trimestral;19;1;78.54
1127;48;Trimestral;17;3;38.04
3065;64;Anual;3;3;70.64
2816;44;Mensal;18;2;73.83
2758;58;Anual;8;1;29.25
3613;37;Anual;22;1;97.81
1569;41;Mensal;25;5;117.14
2346;43;Anual;24;3;118.72
2895;36;Mensal;26;1;90.37
3733;64;Anual;19;1;76.75
4863;22;Mensal;5;4;9.15
1625;32;Anual;7;4;43.17
4359;35;Anual;21;1;13.99
3901;56;Anual;8;5;144.57
2686;64;Trimestral;5;1;20.26
4009;35;Mensal;17;2;22.77
4710;37;Mensal;5;3;133.44
1154;43;Mensal;4;5;141.59
3537;55;Mensal;22;2;114.87
2409;64;Trimestral;19;5;0.81
1784;22;Mensal;27;2;0.2
4175;16;Anual;21;3;56.72
4464;47;Trimestral;2;3;21.51
4882;28;Anual;11;4;2.76
1245;45;Mensal;22;2;69.61
4247;38;Anual;13;4;141.46
4110;34;Anual;15;2;48.57
2500;47;Mensal;12;4;99.17
2705;45;Trimestral;22;3;97.84
3806;44;Trimestral;21;5;37.66
1537;64;Mensal;22;4;97.56
2890;60;Trimestral;11;2;31.85
2841;44;Mensal;7;2;18.3
1920;45;Mensal;5;3;105.21
3455;31;Mensal;17;2;17.02
1524;55;Mensal;24;1;149.54
3875;34;Mensal;20;5;27.52
2529;33;Mensal;9;4;89.12
3950;16;Anual;14;5;61.71
4896;29;Trimestral;26;3;18.96
1035;62;Anual;12;4;4.18
1684;17;Mensal;6;4;93.41
1019;43;Mensal;17;1;121.01
3368;64;Trimestral;19;3;126.3
4847;45;Mensal;19;2;72.41
3559;53;Mensal;26;1;116.62
1399;19;Trimestral;16;1;100.93
3701;16;Mensal;12;5;108.64
1971;23;Trimestral;12;5;73.89
2906;44;Trimestral;20;5;95.01
3518;54;Mensal;6;1;120.83
2166;18;Mensal;23;2;59.68
2115;47;Trimestral;26;4;120.9
4425;25;Mensal;4;5;88.8
1833;25;Mensal;6;2;24.89
2823;34;Anual;11;3;3.7
3774;61;Mensal;1;5;54.41
2982;49;Trimestral;24;4;82.0
1853;48;Anual;23;3;125.97
1050;38;Mensal;15;3;19.12
4736;43;Mensal;27;4;120.03
4769;47;Mensal;11;5;129.45
1574;22;Mensal;25;1;22.6
4261;44;Mensal;19;4;127.74
2148;23;Trimestral;18;4;148.72
3197;16;Mensal;17;4;109.03
3361;18;Trimestral;19;3;117.72
3617;39;Anual;21;2;149.16
4413;38;Anual;14;1;90.82
3352;23;Trimestral;27;5;46.18
2715;62;Mensal;18;5;125.63
1681;52;Trimestral;19;2;92.17
1837;18;Trimestral;15;4;87.18
4854;48;Mensal;15;1;38.05
2077;43;Mensal;4;5;113.45
4050;62;Anual;7;5;12.25
3491;23;Mensal;13;4;138.64
3660;49;Mensal;3;2;48.87
4040;50;Mensal;16;1;19.17
3311;47;Mensal;9;2;66.35
4124;39;Anual;8;2;6.37
2595;29;Trimestral;20;1;102.69
4051;47;Trimestral;13;1;135.41
4691;61;Mensal;17;5;125.59
1004;58;Mensal;17;5;19.11
2126;31;Mensal;17;1;18.94
2219;19;Mensal;1;3;122.02
1773;52;Mensal;8;5;138.64
1876;36;Trimestral;19;3;69.1
1991;29;Mensal;6;1;74.85
3931;46;Trimestral;3;5;47.74
4421;63;Mensal;27;2;134.14
1046;33;Mensal;5;1;96.74
3914;22;Mensal;13;4;43.24
3870;25;Anual;15;3;44.82
3983;22;Anual;14;1;133.68
4891;48;Anual;23;1;2.05
3703;38;Mensal;16;5;48.41
1268;36;Mensal;18;5;83.15
1369;34;Trimestral;22;5;22.23
1635;63;Mensal;22;4;13.81
2129;34;Anual;11;5;122.29
2693;51;Mensal;3;1;134.16
2682;44;Mensal;22;5;123.54
1656;33;Mensal;10;2;134.82
1119;17;Mensal;10;5;82.97
1830;16;Trimestral;21;4;121.84
2810;62;Mensal;16;2;57.61
4675;20;Mensal;12;1;99.94
2081;35;Mensal;2;1;148.33
2974;26;Mensal;9;3;33.86
2369;57;Trimestral;24;2;58.48
1740;17;Anual;3;3;72.01
4545;18;Anual;24;2;20.7
1116;38;Trimestral;25;2;12.16
2853;27;Mensal;15;4;124.46
3838;35;Trimestral;3;3;146.52
2150;20;Mensal;19;4;60.71
4464;52;Mensal;18;2;13.15
2931;53;Anual;8;1;9.87
2012;45;Mensal;26;2;133.7
2664;24;Anual;17;4;69.57
2081;49;Mensal;8;3;48.0
1633;59;Trimestral;7;3;71.47
1512;50;Trimestral;7;4;47.75
4822;37;Anual;3;3;73.36
3849;59;Trimestral;1;5;128.93
2119;39;Trimestral;4;1;88.85
4709;32;Mensal;25;1;104.2
2141;25;Trimestral;5;1;54.7
1559;45;Mensal;1;3;110.78
4672;61;Trimestral;15;3;99.99
1487;38;Trimestral;5;2;17.93
4308;47;Trimestral;13;2;85.9
4956;32;Mensal;8;1;38.51
1896;32;Mensal;8;5;120.61
4343;29;Trimestral;5;2;63.89
2212;24;Mensal;9;2;149.2
1703;55;Mensal;1;3;13.88
2470;17;Mensal;4;5;117.05
1580;60;Anual;3;1;101.06
3837;40;Trimestral;2;2;115.12
3908;54;Mensal;8;5;46.13
3294;24;Mensal;23;5;73.81
4147;37;Mensal;9;1;119.48
1153;58;Trimestral;2;5;34.88
2679;61;Trimestral;14;5;33.9
4506;19;Mensal;14;5;82.66
1996;41;Mensal;4;2;78.53
4157;44;Mensal;6;1;42.34
3744;60;Trimestral;11;5;44.71
4356;49;Trimestral;3;5;41.68
2243;38;Mensal;8;2;115.73
2092;52;Mensal;3;1;97.79
4118;26;Mensal;14;3;124.86
2008;21;Anual;13;2;146.32
3141;33;Mensal;13;1;71.12
2773;36;Trimestral;2;5;10.0
1957;57;Trimestral;13;1;7.21
4059;51;Mensal;19;1;44.35
1452;56;Mensal;27;1;139.88
2227;53;Mensal;6;3;78.48
3959;49;Trimestral;16;1;40.77
3265;32;Trimestral;2;3;59.88
3521;52;Trimestral;8;5;89.79
3479;40;Trimestral;17;3;97.94
3388;53;Mensal;23;5;23.09
1550;27;Anual;2;5;146.55
2635;38;Trimestral;10;3;81.72
2312;57;Mensal;16;2;20.35
4325;37;Anual;6;4;134.05
2757;36;Trimestral;2;1;11.2
1356;42;Trimestral;2;4;136.16
3070;46;Trimestral;26;1;149.48
2785;21;Anual;13;1;105.06
3569;42;Trimestral;24;5;115.57
2781;55;Mensal;15;1;50.6
4908;49;Mensal;2;1;141.24
4171;27;Anual;7;3;79.46
3849;60;Mensal;3;4;109.86
4251;22;Mensal;8;3;138.62
4294;25;Mensal;23;1;146.28
4977;60;Mensal;14;5;124.98
3809;32;Trimestral;24;3;45.45
4730;41;Anual;23;3;144.98
3489;36;Mensal;27;2;94.22
2631;43;Mensal;22;1;139.6
3816;61;Mensal;7;5;101.42
2015;17;Anual;21;3;46.09
2348;58;Trimestral;7;3;55.5
1515;16;Mensal;1;5;82.57
4087;51;Anual;17;1;118.5
3839;41;Anual;9;2;47.7
1335;44;Anual;21;3;86.96
2782;36;Anual;13;2;51.84
3305;26;Mensal;21;4;122.37
1496;55;Trimestral;19;1;70.01
1895;26;Mensal;21;4;11.51
3207;51;Anual;19;4;24.91
4546;64;Trimestral;25;4;9.17
1851;54;Trimestral;25;1;74.9
2687;55;Trimestral;22;1;15.95
2931;50;Mensal;17;5;17.12
3737;49;Trimestral;23;2;141.16
4746;62;Anual;23;2;130.9
3427;39;Anual;10;5;67.81
2568;37;Mensal;10;5;147.87
1956;20;Mensal;4;4;0.03
3738;48;Mensal;8;5;92.1
4498;51;Trimestral;22;3;92.46
2636;62;Anual;20;2;68.62
2291;35;Mensal;20;5;59.54
4906;34;Trimestral;18;3;68.31
4648;50;Anual;14;3;62.24
2440;58;Trimestral;18;3;109.57
2191;32;Trimestral;14;3;20.3
4913;60;Trimestral;20;4;29.65
2066;58;Trimestral;21;3;27.08
4627;49;Mensal;24;4;39.37
1284;24;Trimestral;15;4;78.79
3444;41;Trimestral;22;3;16.68
1011;17;Anual;4;2;130.23
2630;24;Trimestral;13;3;44.6
4373;24;Trimestral;27;3;24.38
4969;55;Mensal;23;3;101.34
4324;32;Mensal;8;2;5.71
3546;16;Mensal;18;1;93.0
1753;40;Mensal;12;1;104.73
3082;58;Trimestral;23;4;32.24
3774;55;Anual;14;4;6.29
3896;57;Mensal;2;2;54.55
1089;40;Mensal;18;5;14.79
1775;54;Anual;24;1;17.47
3652;50;Mensal;2;4;38.14
4993;18;Trimestral;11;1;44.32
4017;52;Trimestral;9;2;79.5
2625;59;Trimestral;12;2;101.76
4069;59;Mensal;17;5;88.92
1417;45;Mensal;15;5;22.25
1114;53;Trimestral;25;2;25.81
1616;49;Trimestral;17;4;131.82
4974;27;Mensal;26;1;83.75
4267;34;Trimestral;26;3;130.49
1825;52;Mensal;18;5;55.73
4572;59;Trimestral;22;3;92.16
2649;64;Mensal;6;4;78.55
2516;32;Anual;17;5;47.87
4146;25;Mensal;23;3;70.49
1412;64;Mensal;24;4;75.37
4447;62;Mensal;18;1;30.12
4491;27;Mensal;8;4;47.25
1728;31;Anual;9;5;118.71
4348;39;Anual;6;2;137.37
4068;34;Mensal;5;1;53.97
3808;23;Mensal;12;3;46.05
1675;46;Trimestral;25;5;29.28
4465;36;Anual;11;2;101.77
2892;32;Trimestral;25;4;48.46
3504;38;Mensal;1;2;148.16
3967;52;Mensal;11;5;48.85
3239;31;Trimestral;19;5;59.12
3786;21;Mensal;9;2;90.5
4760;23;Trimestral;27;4;120.25
2122;40;Mensal;2;2;70.43
2571;33;Trimestral;12;5;63.4
1977;40;Mensal;4;5;149.35
2008;27;Trimestral;4;3;1.57
3143;30;Mensal;18;3;134.26
2687;41;Trimestral;15;1;22.37
3710;56;Mensal;19;5;117.89
4261;60;Trimestral;13;3;92.69
4807;41;Trimestral;19;2;51.28
1036;62;Trimestral;17;4;131.08
4851;47;Trimestral;6;2;1.94
